1 13 7
ZDG14 HHZ 0.049 0.76 0.051 0.68
ZDG13 HHZ 0.025 0.75 0.044 0.82
ZDG16 HHZ -0.024 0.68 -0.030 0.68
ZDG12 HHZ 0.060 0.61 0.086 0.57
ZDG10 BHZ -0.586 0.30 0.083 0.81
ZDG08 BHZ 0.453 0.33 0.084 0.92
ZDG06 BHZ 0.110 0.29 0.077 0.72
1 363 9
ZDG14 HHZ -0.045 0.80 -0.099 0.48
ZDG13 HHZ -0.058 0.80 -0.083 0.89
ZDG16 HHZ 0.058 0.87 0.132 0.66
ZDG10 BHZ -0.546 0.56 -0.161 0.81
ZDG09 BHZ 0.643 0.61 -0.013 0.59
ZDG08 BHZ 0.034 0.44 -0.181 0.81
ZDG07 BHZ -0.712 0.66 -0.780 0.31
ZDG06 BHZ -0.241 0.66 -0.164 0.67
ZDG02 HHZ 0.213 0.75 0.716 0.65
1 1072 8
ZDG14 HHZ 0.174 0.69 0.174 0.80
ZDG13 HHZ 0.152 0.71 0.152 0.85
ZDG16 HHZ 0.154 0.83 0.143 0.83
ZDG12 HHZ 0.150 0.52 0.152 0.79
ZDG09 BHZ -0.360 0.75 0.060 0.50
ZDG08 BHZ 0.547 0.51 0.133 0.73
ZDG06 BHZ -0.607 0.60 0.136 0.66
ZDG02 HHZ -0.773 0.60 -0.611 0.41
1 741 10
ZDG14 HHZ 0.091 0.88 0.084 0.69
ZDG13 HHZ 0.086 0.90 0.083 0.91
ZDG16 HHZ 0.066 0.90 0.079 0.73
ZDG12 HHZ 0.072 0.69 0.067 0.86
ZDG09 BHZ 0.009 0.74 -0.680 0.42
ZDG08 BHZ 0.507 0.63 0.060 0.80
ZDG07 BHZ 0.579 0.88 -0.471 0.67
ZDG06 BHZ -0.123 0.59 0.052 0.72
ZDG05 BHZ 0.478 0.79 -0.478 0.53
ZDG02 HHZ -0.681 0.82 0.789 0.58
1 1163 8
ZDG14 HHZ -0.035 0.81 -0.088 0.50
ZDG13 HHZ -0.060 0.80 -0.085 0.88
ZDG16 HHZ 0.048 0.87 0.117 0.65
ZDG12 HHZ -0.085 0.49 -0.143 0.61
ZDG09 BHZ 0.100 0.67 0.391 0.45
ZDG08 BHZ 0.802 0.33 -0.196 0.78
ZDG07 BHZ -0.310 0.66 0.629 0.33
ZDG06 BHZ -0.432 0.55 -0.187 0.71
1 950 6
ZDG14 HHZ -0.031 0.69 -0.651 0.38
ZDG09 BHZ -0.048 0.76 0.678 0.42
ZDG08 BHZ -0.681 0.61 0.206 0.61
ZDG07 BHZ -0.659 0.68 0.282 0.27
ZDG06 BHZ -0.638 0.72 0.328 0.59
ZDG04 BHZ -0.182 0.66 0.226 0.53
1 1333 11
ZDG14 HHZ -0.020 0.90 -0.009 0.94
ZDG13 HHZ -0.036 0.86 -0.035 0.93
ZDG16 HHZ -0.043 0.91 -0.055 0.78
ZDG12 HHZ -0.055 0.55 -0.058 0.92
ZDG10 BHZ -0.110 0.61 -0.421 0.26
ZDG09 BHZ -0.103 0.87 -0.006 0.56
ZDG08 BHZ -0.568 0.56 -0.081 0.81
ZDG07 BHZ 0.053 0.77 0.717 0.39
ZDG06 BHZ -0.661 0.68 -0.175 0.61
ZDG04 BHZ 0.773 0.74 -0.637 0.33
ZDG02 HHZ 0.555 0.62 0.226 0.65
1 1035 8
ZDG14 HHZ -0.063 0.77 -0.142 0.46
ZDG13 HHZ -0.056 0.82 -0.101 0.74
ZDG12 HHZ -0.223 0.51 -0.342 0.51
ZDG10 BHZ 0.336 0.55 -0.307 0.21
ZDG08 BHZ -0.753 0.69 -0.265 0.74
ZDG07 BHZ 0.665 0.80 -0.800 0.38
ZDG06 BHZ -0.457 0.71 -0.255 0.64
ZDG02 HHZ 0.047 0.81 -0.359 0.70
5 1657 7
